additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor,property_type,transaction_type
1,6,2,1,999,2,1,1,923,West,2 out of 10,Viman Nagar,Old,1,Park,Freehold,2022-02-07,127872,128,Harrell Ltd,No,Ready to Move,11,Row House,Sale
0,4,4,2,870,1,2,2,829,West,5 out of 12,Undri,Old,2,Park,Freehold,2023-11-07,128760,148,"Stevenson, Brown and Brown",No,Ready to Move,3,Villa,Sale
1,4,4,2,1588,3,4,4,1529,North,1 out of 5,Magarpatta,New,3,Garden,Freehold,2025-01-04,200088,126,"Newman, Martin and Johnson",No,Ready to Move,7,Row House,Rent
2,2,2,0,1910,3,4,4,1836,West,5 out of 12,Viman Nagar,New,3,Garden,Freehold,2025-03-08,233020,122,"Rodriguez, Hoover and Salas",Yes,Ready to Move,6,Villa,Rent
2,1,1,0,469,3,2,2,393,North,5 out of 12,Manjari,New,3,Park,Leasehold,2023-11-17,63315,135,Oneill-Mann,No,Under Construction,5,Apartment,Sale
2,9,1,0,1328,0,3,3,1234,South,2 out of 10,Kharadi,Old,1,Garden,Freehold,2024-12-24,71712,54,"Meza, Davis and Schroeder",Yes,Under Construction,11,Apartment,Sale
2,9,1,2,836,1,3,3,743,West,1 out of 5,Undri,New,2,Park,Freehold,2022-08-30,97812,117,Thompson-Mclaughlin,No,Under Construction,5,Row House,Sale
0,0,5,0,1241,2,4,4,1197,East,Ground,Hadapsar,Old,1,Garden,Freehold,2024-07-15,63291,51,Blankenship and Sons,Yes,Under Construction,8,Row House,Rent
0,4,2,0,1113,1,2,2,1093,North,2 out of 10,Bhekrai Nagar,Old,1,Main Road,Leasehold,2022-10-04,111300,100,Wilson-Wells,No,Ready to Move,4,Row House,Sale
0,10,4,0,785,3,2,2,752,East,5 out of 12,Kharadi,Old,2,Park,Leasehold,2020-05-24,63585,81,Sellers-Vance,Yes,Ready to Move,6,Row House,Rent
1,10,2,1,1075,0,3,3,1017,East,1 out of 5,Bhekrai Nagar,New,2,Main Road,Freehold,2020-12-06,75250,70,Melendez and Sons,Yes,Under Construction,8,Apartment,Rent
2,5,5,0,1198,1,3,3,1157,West,2 out of 10,Wagholi,New,1,Park,Leasehold,2021-04-11,170116,142,"Soto, Osborn and Ryan",No,Under Construction,8,Row House,Rent
0,0,4,2,1804,2,1,1,1729,West,2 out of 10,Magarpatta,New,1,Garden,Leasehold,2022-06-09,180400,100,Case Group,Yes,Ready to Move,7,Row House,Rent
2,0,1,0,650,2,2,2,627,East,1 out of 5,NIBM,New,2,Garden,Leasehold,2022-07-14,53300,82,"Berger, Meyers and Vincent",Yes,Under Construction,12,Apartment,Sale
1,5,5,0,1758,0,4,4,1686,North,1 out of 5,NIBM,Old,1,Garden,Leasehold,2023-08-06,232056,132,Evans-Lindsey,No,Ready to Move,4,Apartment,Sale
0,8,2,0,464,2,3,3,408,North,5 out of 12,Dhomkeel,Old,2,Park,Freehold,2023-09-01,49648,107,"Bean, Dunn and Stanley",Yes,Under Construction,12,Row House,Rent
0,6,3,1,1614,2,3,3,1522,West,1 out of 5,Wagholi,Old,1,Main Road,Freehold,2020-01-14,163014,101,"Hampton, Hudson and Roman",No,Ready to Move,8,Row House,Sale
1,8,5,2,610,1,2,2,589,West,2 out of 10,Kharadi,Old,1,Main Road,Freehold,2021-07-18,53070,87,Williams Ltd,Yes,Ready to Move,8,Apartment,Sale
0,7,1,0,1624,0,2,2,1551,West,2 out of 10,Dhomkeel,Old,1,Park,Leasehold,2023-09-14,183512,113,Nguyen-Barnes,No,Ready to Move,7,Villa,Rent
2,3,3,1,468,3,3,3,377,North,5 out of 12,Undri,Old,1,Main Road,Leasehold,2020-04-09,59436,127,"Thomas, Richards and Brown",Yes,Under Construction,8,Row House,Sale
0,9,5,0,828,2,1,1,746,West,Ground,Dhomkeel,New,2,Park,Freehold,2022-09-04,45540,55,"Young, Diaz and Guerrero",Yes,Ready to Move,1,Row House,Sale
0,1,3,1,1123,0,3,3,1082,North,1 out of 5,Magarpatta,New,1,Garden,Leasehold,2023-04-13,90963,81,Miller-Wong,Yes,Under Construction,10,Apartment,Rent
1,8,5,1,965,3,4,4,943,West,5 out of 12,Dhomkeel,Old,2,Garden,Leasehold,2023-09-06,75270,78,"Schwartz, Smith and Armstrong",Yes,Under Construction,8,Apartment,Sale
1,4,2,0,467,1,1,1,375,East,1 out of 5,Manjari,Old,1,Park,Freehold,2021-10-22,29888,64,Bass-Foley,No,Ready to Move,2,Villa,Rent
2,5,4,1,1502,3,3,3,1450,North,Ground,Viman Nagar,New,1,Main Road,Freehold,2020-07-25,84112,56,"Kelley, Ford and Wallace",Yes,Under Construction,9,Villa,Rent
1,1,3,1,1458,1,4,4,1425,South,1 out of 5,Kondhwa,Old,2,Park,Leasehold,2023-09-16,78732,54,Franco-Alvarado,No,Ready to Move,8,Apartment,Rent
2,8,2,0,1285,1,1,1,1222,South,5 out of 12,Dhomkeel,Old,3,Main Road,Leasehold,2022-04-21,134925,105,Garcia LLC,Yes,Ready to Move,10,Villa,Sale
0,10,1,1,1870,3,1,1,1840,East,1 out of 5,Alandi,Old,2,Park,Leasehold,2023-01-12,280500,150,Garcia Group,Yes,Under Construction,9,Villa,Rent
